"trans_id","lang","translation"
"中井川","ja","中井川"
"中井川","ja-Hrkt","ナカイガワ"
"中仙道","en","Nakasendo"
"中仙道","ja","中仙道"
"中仙道","ja-Hrkt","ナカセンドウ"
"中仙道(中鉄)","en","Nakasendo"
"中仙道(中鉄)","ja","中仙道(中鉄)"
"中仙道(中鉄)","ja-Hrkt","ナカセンドウ"
"中仙道西","en","Nakasendo-nishi"
"中仙道西","ja","中仙道西"
"中仙道西","ja-Hrkt","ナカセンドウニシ"
"中原","en","Nakahara"
"中原","ja","中原"
"中原","ja-Hrkt","ナカハラ"
"中の原南・総合在宅支援センター前","en","Nakanohara-minami/Sogo Zaitaku Shien Center-mae"
"中の原南・総合在宅支援センター前","ja","中の原南・総合在宅支援センター前"
"中の原南・総合在宅支援センター前","ja-Hrkt","ナカノハラミナミソウゴウザイタクシエンセンターマエ"
"中の原・旭川荘厚生専門学院前","en","Nakanohara/Asahigawasou Kousei Senmon Gakuin-mae"
"中の原・旭川荘厚生専門学院前","ja","中の原・旭川荘厚生専門学院前"
"中の原・旭川荘厚生専門学院前","ja-Hrkt","ナカノハラアサヒガワソウコウセイセンモンガクインマエ"
"中国学園入口","en","Chugoku Gakuen Iriguchi"
"中国学園入口","ja","中国学園入口"
"中国学園入口","ja-Hrkt","チュウゴクガクエンイリグチ"
"中国能開大","en","Chugoku Nokaidai"
"中国能開大","ja","中国能開大"
"中国能開大","ja-Hrkt","チュウゴクノウカイダイ"
"中国追分","en","Chugokuoiwake"
"中国追分","ja","中国追分"
"中国追分","ja-Hrkt","チュウゴクオイワケ"
"中央二丁目","en","Chuo 2-chome"
"中央二丁目","ja","中央二丁目"
"中央二丁目","ja-Hrkt","チュウオウニチョウメ"
"中央公園口","en","Chuo Koen-guchi"
"中央公園口","ja","中央公園口"
"中央公園口","ja-Hrkt","チュウオウコウエングチ"
"中央市場前","en","Chuo Ichiba-mae"
"中央市場前","ja","中央市場前"
"中央市場前","ja-Hrkt","チュウオウイチバマエ"
"中央病院下","en","Chuo Byoin-shita"
"中央病院下","ja","中央病院下"
"中央病院下","ja-Hrkt","チュウオウビョウイン"
"中姓寺","en","Nakasyouji"
"中姓寺","ja","中姓寺"
"中姓寺","ja-Hrkt","ナカショウジ"
"中学校前","en","Chugakko-mae"
"中学校前","ja","中学校前"
"中学校前","ja-Hrkt","チュウガッコウマエ"
"中小倉","en","Nakaogura"
"中小倉","ja","中小倉"
"中小倉","ja-Hrkt","ナカオグラ"
"中屋","en","Nakaya"
"中屋","ja","中屋"
"中屋","ja-Hrkt","ナカヤ"
"中山","en","Nakayama"
"中山","ja","中山"
"中山","ja-Hrkt","ナカヤマ"
"中山トンネル","en","Nakayama Tunnel"
"中山トンネル","ja","中山トンネル"
"中山トンネル","ja-Hrkt","ナカヤマトンネル"
"中島","en","Nakashima"
"中島","ja","中島"
"中島","ja-Hrkt","ナカシマ"
"中島口","en","Nakashimaguchi"
"中島口","ja","中島口"
"中島口","ja-Hrkt","ナカシマグチ"
"中川橋","en","Nakagawabashi"
"中川橋","ja","中川橋"
"中川橋","ja-Hrkt","ナカガワバシ"
"中庄駅","en","Nakasho Sta."
"中庄駅","ja","中庄駅"
"中庄駅","ja-Hrkt","ナカショウエキ"
"中撫川","en","Nakanatsukawa"
"中撫川","ja","中撫川"
"中撫川","ja-Hrkt","ナカナツカワ"
"中村","en","Nakamura"
"中村","ja","中村"
"中村","ja-Hrkt","ナカムラ"
"中正小学校前","en","Chusei Shogakko-mae"
"中正小学校前","ja","中正小学校前"
"中正小学校前","ja-Hrkt","チュウセイショウガッコウマエ"
"中泉","en","Nakaizumi"
"中泉","ja","中泉"
"中泉","ja-Hrkt","ナカイズミ"
"中泉上","en","Nakaizumi-kami"
"中泉上","ja","中泉上"
"中泉上","ja-Hrkt","ナカイズミカミ"
"中浜","en","Nakahama"
"中浜","ja","中浜"
"中浜","ja-Hrkt","ナカハマ"
"中田コミュニティ","en","Nakada Community"
"中田コミュニティ","ja","中田コミュニティ"
"中田コミュニティ","ja-Hrkt","ナカダコミュニティ"
"中田下之町口","en","Nakadashimonochokuchi"
"中田下之町口","ja","中田下之町口"
"中田下之町口","ja-Hrkt","ナカダシモノチョウクチ"
"中畑本村","en","Nakahatahonmura"
"中畑本村","ja","中畑本村"
"中畑本村","ja-Hrkt","ナカハタホンムラ"
"中畝","en","Nakaune"
"中畝","ja","中畝"
"中畝","ja-Hrkt","ナカウネ"
"中福田","en","Nakafukuda"
"中福田","ja","中福田"
"中福田","ja-Hrkt","ナカフクダ"
"中福田下","en","Nakafukuda-shimo"
"中福田下","ja","中福田下"
"中福田下","ja-Hrkt","ナカフクダシモ"
"中筋","en","Nanakasuji"
"中筋","ja","中筋"
"中筋","ja-Hrkt","ナカスジ"
"中西","en","Chusei"
"中西","ja","中西"
"中西","ja-Hrkt","チュウセイ"
"中野駅北口","en","Nakanoeki-kitaguchi"
"中野駅北口","ja","中野駅北口"
"中野駅北口","ja-Hrkt","ナカノエキキタグチ"
"中鉄車庫","en","Tyutetsushako"
"中鉄車庫","ja","中鉄車庫"
"中鉄車庫","ja-Hrkt","チュウテツシャコ"
"中銀前","en","Chugin-mae"
"中銀前","ja","中銀前"
"中銀前","ja-Hrkt","チュウギンマエ"
"中銀前(総社)","en","Chugin-mae(soja)"
"中銀前(総社)","ja","中銀前(総社)"
"中銀前(総社)","ja-Hrkt","チュウギンマエ"
"中電前","en","Chuden-mae"
"中電前","ja","中電前"
"中電前","ja-Hrkt","チュウデンマエ"
"中須賀","en","Nakasuga"
"中須賀","ja","中須賀"
"中須賀","ja-Hrkt","ナカスガ"
"中須賀団地前","en","Nakasuka Danchi-mae"
"中須賀団地前","ja","中須賀団地前"
"中須賀団地前","ja-Hrkt","ナカスカダンチマエ"
"串ヶ谷","en","Kushigatani"
"串ヶ谷","ja","串ヶ谷"
"串ヶ谷","ja-Hrkt","クシガタニ"
"丸山営業所","en","Maruyama Eigyosho"
"丸山営業所","ja","丸山営業所"
"丸山営業所","ja-Hrkt","マルヤマエイギョウショ"
"丹後","en","Tango"
"丹後","ja","丹後"
"丹後","ja-Hrkt","タンゴ"
"久世中央","en","Kusechuo"
"久世中央","ja","久世中央"
"久世中央","ja-Hrkt","クセチュウオウ"
"久世車庫","en","Kuse Shako"
"久世車庫","ja","久世車庫"
"久世車庫","ja-Hrkt","クセシャコ"
"久世車庫入口","en","Kuseshako-Iriguchi"
"久世車庫入口","ja","久世車庫入口"
"久世車庫入口","ja-Hrkt","クセシャコイリグチ"
"久世駅前","en","Kuseeki-mae"
"久世駅前","ja","久世駅前"
"久世駅前","ja-Hrkt","クセエキマエ"
"久々井","en","Kugui"
"久々井","ja","久々井"
"久々井","ja-Hrkt","クグイ"
"久代橋","en","Kushirobashi"
"久代橋","ja","久代橋"
"久代橋","ja-Hrkt","クシロバシ"
"久保","en","Kubo"
"久保","ja","久保"
"久保","ja-Hrkt","クボ"
"久保上","en","Kubo-kami"
"久保上","ja","久保上"
"久保上","ja-Hrkt","クボカミ"
"久宗農場前","en","Hisamune Nojo-mae"
"久宗農場前","ja","久宗農場前"
"久宗農場前","ja-Hrkt","ヒサムネノウジョウマエ"
"久師井口","en","Kujii-guchi"
"久師井口","ja","久師井口"
"久師井口","ja-Hrkt","クジイグチ"
"久常","en","Hisatsune"
"久常","ja","久常"
"久常","ja-Hrkt","ヒサツネ"
"久木橋","en","Hisagibashi"
"久木橋","ja","久木橋"
"久木橋","ja-Hrkt","ヒサギバシ"
"久本公会堂","en","Hisamoto Kokaido"
"久本公会堂","ja","久本公会堂"
"久本公会堂","ja-Hrkt","ヒサモトコウカイドウ"
"久田","en","Kuta"
"久田","ja","久田"
"久田","ja-Hrkt","クタ"
"久米","en","Kume"
"久米","ja","久米"
"久米","ja-Hrkt","クメ"
"久米南町役場前","en","Kumenancho Yakuba-mae"
"久米南町役場前","ja","久米南町役場前"
"久米南町役場前","ja-Hrkt","クメナンチョウヤクバ"
"久米支所前","en","Kumeshisho-mae"
"久米支所前","ja","久米支所前"
"久米支所前","ja-Hrkt","クメシショマエ"
"久納","en","Kunno"
"久納","ja","久納"
"久納","ja-Hrkt","クンノウ"
"久見学校前","en","Hisami Gakko-mae"
"久見学校前","ja","久見学校前"
"久見学校前","ja-Hrkt","ヒサミガッコウマエ"
"乗井口","en","Norii-guchi"
"乗井口","ja","乗井口"
"乗井口","ja-Hrkt","ノリイグチ"
"さくらバス乗換場所","en","Sakura Bus Norikaebasho"
"さくらバス乗換場所","ja","さくらバス乗換場所"
"さくらバス乗換場所","ja-Hrkt","サクラバスノリカエバショ"
"九谷","en","Kudani"
"九谷","ja","九谷"
"九谷","ja-Hrkt","クダニ"
"九谷中","en","Kutani-naka"
"九谷中","ja","九谷中"
"九谷中","ja-Hrkt","クタニナカ"
"九谷口","en","Kudanikuchi"
"九谷口","ja","九谷口"
"九谷口","ja-Hrkt","クダニクチ"
"九谷橋下","en","Kudanibashi-shimo"
"九谷橋下","ja","九谷橋下"
"九谷橋下","ja-Hrkt","クダニバシシモ"
"亀島橋","en","Kamejimabashi"
"亀島橋","ja","亀島橋"
"亀島橋","ja-Hrkt","カメジマバシ"
"亀甲","en","Kamenoko"
"亀甲","ja","亀甲"
"亀甲","ja-Hrkt","カメノコウ"
"亀甲駅前","en","Kamenoko-Ekimae"
"亀甲駅前","ja","亀甲駅前"
"亀甲駅前","ja-Hrkt","カメノコウエキマエ"
"二塚","en","Futatsuka"
"二塚","ja","二塚"
"二塚","ja-Hrkt","フタツカ"
"二宮山西","en","Ninomiyayama-nishi"
"二宮山西","ja","二宮山西"
"二宮山西","ja-Hrkt","ニノミヤヤマニシ"
"二川","en","Futagawa"
"二川","ja","二川"
"二川","ja-Hrkt","フタガワ"
